OrderID,OrderDate,CustomerID,Gender,Age,ProductCategory,ProductName,Quantity,Price,TotalAmount,City,PaymentMethod
1001,2024-01-05,C101,Male,24,Electronics,Headphones,2,1500,3000,Hyderabad,UPI
1002,2024-01-08,C102,Female,29,Clothing,T-Shirt,3,700,2100,Vizag,Card
1003,2024-01-10,C103,Male,35,Grocery,Rice Bag,1,1200,1200,Vijayawada,Cash
1004,2024-01-12,C104,Female,41,Beauty,Skin Cream,2,900,1800,Guntur,UPI
1005,2024-01-15,C105,Male,31,Electronics,Mouse,1,800,800,Hyderabad,Card
1006,2024-01-20,C106,Female,27,Clothing,Jeans,2,1500,3000,Tirupati,UPI
1007,2024-02-02,C107,Male,45,Grocery,Oil Can,1,1800,1800,Vizag,Cash
1008,2024-02-08,C108,Female,22,Beauty,Lipstick,4,500,2000,Hyderabad,Card
1009,2024-02-12,C109,Male,38,Electronics,Keyboard,1,2000,2000,Vijayawada,UPI
1010,2024-02-18,C110,Female,33,Clothing,Saree,1,2500,2500,Guntur,Cash
1011,2024-03-01,C111,Male,26,Electronics,Smart Watch,1,3500,3500,Hyderabad,Card
1012,2024-03-04,C112,Female,30,Grocery,Wheat Flour,2,600,1200,Tirupati,UPI
1013,2024-03-07,C113,Male,28,Beauty,Perfume,1,2200,2200,Vizag,Card
1014,2024-03-11,C114,Female,36,Clothing,Dress,2,1800,3600,Vijayawada,Cash
1015,2024-03-15,C115,Male,40,Electronics,Charger,3,500,1500,Guntur,UPI
